;Cuivre;DVarS;Chelateur
VAESTLR12016_v1_20788|ID:85467948|;0,847936081851416;0;0
VAESTLR12016_v1_10400|ID:85464617|mdh|;0,857273999748398;0;0
VAESTLR12016_v1_11080|ID:85465297|;0,971327496816402;0;0
VAESTLR12016_v1_10048|ID:85464265|fadB|;0,897885945582752;0;0
VAESTLR12016_v1_11064|ID:85465281|;0,901033738980816;0;0
VAESTLR12016_v1_20853|ID:85468013|;0,90637063132325;0;0
VAESTLR12016_v1_10049|ID:85464266|fadA|;0,912617093070202;0;0
VAESTLR12016_v1_10810|ID:85465027|;0,798418138068817;0,92128865752141;0
VAESTLR12016_v1_20732|ID:85467892|rplT|;0,554126077020879;1,17521820255667;0
VAESTLR12016_v1_12492|ID:85466709|lpxC|;0;0,483128904312932;0
VAESTLR12016_v1_10615|ID:85464832|ftsH|;0;0,545865335790889;0
VAESTLR12016_v1_30044|ID:85468472|;0;0,589266533266337;0
VAESTLR12016_v1_10375|ID:85464592|;0;0,591426522862237;0
VAESTLR12016_v1_20908|ID:85468068|;0;0,620931278328401;0
VAESTLR12016_v1_12142|ID:85466359|fliA|;0;0,621358867076023;0
VAESTLR12016_v1_11588|ID:85465805|;0;0,649266295915972;0
VAESTLR12016_v1_11195|ID:85465412|cysS|;0;0,656799558135218;0
VAESTLR12016_v1_10706|ID:85464923|;0;0,671328235786524;0
VAESTLR12016_v1_10876|ID:85465093|ybeX|;0;0,672639958472617;0
VAESTLR12016_v1_20635|ID:85467795|;0;0,722413556135557;0
VAESTLR12016_v1_30039|ID:85468467|yicC|;0;0,701237393425192;0
VAESTLR12016_v1_12911|ID:85467128|rfaD|;0;0,708814932041145;0
VAESTLR12016_v1_11928|ID:85466145|;0;0,711805210140833;0
VAESTLR12016_v1_10523|ID:85464740|recA|;0;0,743610476256107;0
VAESTLR12016_v1_12150|ID:85466367|argS|;0;0,744469881071161;0
VAESTLR12016_v1_21016|ID:85468176|;0;0,749901606868228;0
VAESTLR12016_v1_12162|ID:85466379|sucA|;0;0,754244248617112;0
