;15;22;40
VAESTLR12016_v1_11851|ID:85466068|;-1,00469554527512;0;0
VAESTLR12016_v1_11052|ID:85465269|;-1,02201526905887;0;0
VAESTLR12016_v1_12595|ID:85466812|;-1,02053620785155;0;0
VAESTLR12016_v1_11733|ID:85465950|rhaS|;-1,0159617906122;0;0
VAESTLR12016_v1_11681|ID:85465898|ugpE|;-0,999542068843518;0;0
VAESTLR12016_v1_10815|ID:85465032|ykgO|;-0,999187085551787;0;0
VAESTLR12016_v1_10124|ID:85464341|aroE|;-1,0009250131676;0;0
VAESTLR12016_v1_10152|ID:85464369|;-0,99157046014388;0;0
VAESTLR12016_v1_20064|ID:85467224|;-0,8938343856559;0;0
VAESTLR12016_v1_10847|ID:85465064|treR|;-0,893122095708136;0;0
VAESTLR12016_v1_10360|ID:85464577|;-0,894905235210097;0;0
VAESTLR12016_v1_20763|ID:85467923|;-0,889194255617851;0;0
VAESTLR12016_v1_21110|ID:85468270|;-0,888851172207759;0;0
VAESTLR12016_v1_12123|ID:85466340|;-0,897379282780421;0;0
VAESTLR12016_v1_12622|ID:85466839|;-0,897212068031614;0;0
VAESTLR12016_v1_20641|ID:85467801|;-0,900140123603091;0;0
VAESTLR12016_v1_10478|ID:85464695|;-0,907342625433068;0;0
VAESTLR12016_v1_10550|ID:85464767|tapB|;-0,907130240993555;0;0
VAESTLR12016_v1_20994|ID:85468154|;-0,907629223620969;0;0
VAESTLR12016_v1_20052|ID:85467212|;-0,910010129744655;0;0
VAESTLR12016_v1_10461|ID:85464678|;-0,903487640340361;0;0
VAESTLR12016_v1_10549|ID:85464766|pilC|;-0,902769854924343;0;0
VAESTLR12016_v1_20437|ID:85467597|;-0,905053104197732;0;0
VAESTLR12016_v1_21005|ID:85468165|;-0,931991676251983;0;0
VAESTLR12016_v1_20502|ID:85467662|;-0,931728327773439;0;0
VAESTLR12016_v1_10184|ID:85464401|;-0,93138025893849;0;0
VAESTLR12016_v1_11788|ID:85466005|;-0,933310268129595;0;0
VAESTLR12016_v1_21025|ID:85468185|;-0,927828857355228;0;0
VAESTLR12016_v1_10913|ID:85465130|;-0,927487913101627;0;0
VAESTLR12016_v1_10987|ID:85465204|;-0,929503850828376;0;0
VAESTLR12016_v1_20560|ID:85467720|;-0,915883608256652;0;0
VAESTLR12016_v1_11912|ID:85466129|yciB|;-0,915835833475585;0;0
VAESTLR12016_v1_12919|ID:85467136|;-0,915132529341382;0;0
VAESTLR12016_v1_20241|ID:85467401|;-0,916916523901573;0;0
VAESTLR12016_v1_10703|ID:85464920|;-0,921492881025008;0;0
VAESTLR12016_v1_21171|ID:85468331|;-0,919117935978569;0;0
VAESTLR12016_v1_20716|ID:85467876|;-0,833338262561714;0;0
VAESTLR12016_v1_10173|ID:85464390|;-0,833198643832625;0;0
VAESTLR12016_v1_20375|ID:85467535|;-0,833561917426093;0;0
VAESTLR12016_v1_30065|ID:85468493|;-0,83407682940389;0;0
VAESTLR12016_v1_20935|ID:85468095|;-0,834029011033251;0;0
VAESTLR12016_v1_11772|ID:85465989|;-0,834903210434701;0;0
VAESTLR12016_v1_11106|ID:85465323|;-0,834644453717112;0;0
VAESTLR12016_v1_12177|ID:85466394|;-0,835316232725969;0;0
VAESTLR12016_v1_20178|ID:85467338|;-0,836834988954983;0;0
VAESTLR12016_v1_11747|ID:85465964|;-0,842839096657867;0;0
VAESTLR12016_v1_11012|ID:85465229|;-0,842245690261411;0;0
VAESTLR12016_v1_10797|ID:85465014|;-0,844691295326304;0;0
VAESTLR12016_v1_12792|ID:85467009|;-0,847869923430063;0;0
